,Розетки и выключатели,9001,,,,,
,"Лючки, выдвижные розетки в стол, пол",9002,,9001,,,
,Legrand - Etika,9003,,9001,,,
,Hager - Lumina 2,9004,,9001,,,
,Schneider Electric - Asfora,9005,,9001,,,
,ABB - Basic 55,9006,,9001,,,
,Legrand - Valena Life / Allure,9007,,9001,,,
,"Механизмы в сборе с накладками, клавишами",9008,,9007,,,
,Механизмы InMatic без накладок и клавиш,9009,,9007,,,
,Клавиши и накладки Valena Allure,9010,,9007,,,
,Клавиши и накладки Valena Life,9011,,9007,,,
,Рамки Valena Allure,9012,,9007,,,
,Рамки Valena Life,9013,,9007,,,
,Коробки для накладного монтажа,9014,,9007,,,
,Аксессуары,9015,,9007,,,
,Legrand - Valena,9016,,9001,,,
,Розетки для электроплит,9017,,9001,,,
,Schneider Electric - Sedna,9018,,9001,,,
,Schneider Electric - Unica,9019,,9001,,,
,Универсальные механизмы,9020,,9019,,,
,Суппорт к механизмам,9021,,9019,,,
,Рамки Unica Basic,9022,,9019,,,
,Рамки Unica Plus,9023,,9019,,,
,Рамки Unica Top,9024,,9019,,,
,Рамки Unica Class,9025,,9019,,,
,Рамки Unica Colors,9026,,9019,,,
,Коробки для накладного монтажа,9027,,9019,,,
,Jung - Eco profi,9028,,9001,,,
,Накладные розетки Legrand Forix IP44,9029,,9001,,,
,"Влагозащищенные розетки IP55, IP66",9030,,9001,,,
,Legrand - Celiane,9031,,9001,,,
,механизмы,9032,,9031,,,
,суппорты и коробки,9033,,9031,,,
,лицевые панели,9034,,9031,,,
,рамки и накладки IP44,9035,,9031,,,
,рамки Классика,9036,,9031,,,
,рамки Металлик,9037,,9031,,,
,рамки Материалы,9038,,9031,,,
,рамки Exclusive,9039,,9031,,,
,Polo - Fiorena,9040,,9001,,,
,Legrand - Mosaic,9041,,9001,,,
,"Удлинители, переходники, вилки",9042,,9001,,,
,"Berker - R.1, R.3, R.Classic",9043,,9001,,,
,Универсальные механизмы,9044,,9043,,,
,Рамки R.1,9045,,9043,,,
,Рамки R.3,9046,,9043,,,
,Рамки R.Classic,9047,,9043,,,
,"Berker - 1930, Glas",9048,,9001,,,
,"Berker - Q.1, Q.3, Q.7",9049,,9001,,,
,Jung - A Creation,9050,,9001,,,
,Merten - Antik,9051,,9001,,,
,Bticino - Living Light,9052,,9001,,,
,Legrand - Cariva,9053,,9001,,,
,Legrand - Galea Life,9054,,9001,,,
,механизмы,9055,,9054,,,
,накладки для механизмов,9056,,9054,,,
,рамки классика,9057,,9054,,,
,рамки металл,9058,,9054,,,
,рамки дерево,9059,,9054,,,
,рамки камень,9060,,9054,,,
,рамки кожа,9061,,9054,,,
,коробки для накладного монтажа,9062,,9054,,,
,"GIRA - Standart 55, E2, E22",9063,,9001,,,
,Gira - Esprit,9064,,9001,,,
,Gira - Event,9065,,9001,,,
,Gira - ClassiX,9066,,9001,,,
,Fontini - Garby,9067,,9001,,,
,Fontini - Garby Colonial,9068,,9001,,,
,Fontini - F-37,9069,,9001,,,
,Fontini - Venezia,9070,,9001,,,
,Fontini - Barcelona,9071,,9001,,,
,Bticino - Axolute,9072,,9001,,,
,Merten - M-Elegance,9073,,9001,,,
,Jung - LS 990,9074,,9001,,,
,Розетки 45х45 Hager - Systo,9075,,9001,,,
,Влагостойкие розетки Hager - Hermetica IP44,9076,,9001,,,
,Щиты электрические,9077,,,,,
,"Щиты ABB, Schneider Electric, Legrand, Eaton, ИЭК",9078,,9077,,,
,Hager - Volta,9079,,9077,,,
,Hager - Golf,9080,,9077,,,
,Hager - Cosmos,9081,,9077,,,
,Слаботочные щиты для мультимедиа,9082,,9077,,,
,"Влагозащищенные щиты IP65, IP66",9083,,9077,,,
,Hager - Vega,9084,,9077,,,
,Hager - FW Univers IP44 (от 36 до 216 модулей),9085,,9077,,,
,Металлические щиты,9086,,9077,,,
,Щиты для счетчика,9087,,9077,,,
,"Ящики ЯРП, ЯПРП",9088,,9077,,,
,Кросс-модули и комплектующие к щитам,9089,,9077,,,
,"Кабель, провод",9090,,,,,
,"Прокладка кабеля, все для монтажа, инструмент",9091,,,,,
,"Подрозетники, коробки",9092,,9091,,,
,Гофротруба (гофра),9093,,9091,,,
,Металлорукав,9094,,9091,,,
,Шины соединительные (гребенки),9095,,9091,,,
,Клеммы Wago,9096,,9091,,,
,"Клеммы на din-рейку, клеммные колодки",9097,,9091,,,
,Термоусадочная трубка,9098,,9091,,,
,Кабельные наконечники,9099,,9091,,,
,Кабельные вводы PG (сальники),9100,,9091,,,
,"Кабельные стяжки (хомуты), дюбеля",9101,,9091,,,
,Изолента,9102,,9091,,,
,Арматура для СИП,9103,,9091,,,
,"Короб, кабель-канал",9104,,9091,,,
,Труба ПВХ гладкая,9105,,9091,,,
,Электромонтажный инструмент,9106,,9091,,,
,Кабельные маркеры,9107,,9091,,,
,Вилки и розетки силовые,9108,,9091,,,
,Ленты сигнальные,9109,,9091,,,
,Спиральные обвязки,9110,,9091,,,
,Автоматические выключатели,9111,,,,,
,Автоматические выключатели ABB,9112,,9111,,,
,Автоматические выключатели Eaton (Moeller),9113,,9111,,,
,Автоматические выключатели Hager,9114,,9111,,,
,Автоматические выключатели Legrand,9115,,9111,,,
,Автоматические выключатели Schneider Electric,9116,,9111,,,
,Автоматические выключатели ETI,9117,,9111,,,
,Автоматические выключатели IEK (ИЭК),9118,,9111,,,
,Автоматические выключатели E.NEXT,9119,,9111,,,
,Силовые автоматические выключатели до 1600А,9120,,9111,,,
,Автоматы защиты двигателя,9121,,9111,,,
,Предохранители,9122,,9111,,,
,Аксессуары для модульных приборов,9123,,9111,,,
,Разрядники,9124,,9111,,,
,Однофазные автоматические выключатели,9125,,9111,,,
,Трехфазные автоматические выключатели,9126,,9111,,,
,УЗО (дифреле),9127,,,,,
,Дифавтоматы,9128,,,,,
,Оборудование управления и коммутации,9129,,,,,
,Реле Finder,9130,,9129,,,
,Рубильники перекидные,9131,,9129,,,
,Контакторы,9132,,9129,,,
,Реле,9133,,9129,,,
,Реле напряжения,9134,,9129,,,
,Импульсные реле,9135,,9129,,,
,"Таймеры, реле времени",9136,,9129,,,
,Индикаторы,9137,,9129,,,
,Датчики движения и присутствия,9138,,9129,,,
,"Выключатели нагрузки, разъединители",9139,,9129,,,
,Кнопочные выключатели,9140,,9129,,,
,Сумеречные реле,9141,,9129,,,
,"Трансформаторы на дин-рейку, блоки питания",9142,,9129,,,
,Модульные диммеры на дин-рейку,9143,,9129,,,
,Розетки на дин-рейку,9144,,9129,,,
,Термостаты,9145,,9129,,,
,Преобразователи частоты,9146,,9129,,,
,Звонки и зуммеры,9147,,9129,,,
,Электро измерительные приборы,9148,,9129,,,
,Система дистанционного управления,9149,,9129,,,
,Теплый пол,9150,,,,,
,Конвекторы,9151,,,,,
,Электрооборудование для дома,9152,,,,,
,Счетчики электроэнергии,9153,,9152,,,
,"Видеодомофоны, беспроводные звонки",9154,,9152,,,
,Зарядки для электромобилей,9155,,9152,,,
,Беспроводные зарядки Qi для телефонов,9156,,9152,,,
,"ИБП, инверторы, аккумуляторы",9157,,9152,,,
,"Антиобледенение, обогрев труб",9158,,,,,
,"Лампы, светильники",9159,,,,,
,Заземление и молниезащита,9160,,,,,
